,Mission_Name,Organization,Organization_Type,Nation,Sat_Type,Launch_Year,Rocket,Orbit,Mission_Type,region,Year
157,TechEdSat-3p,NASA Ames Research Center,Agency,US,3U,08-03-13,H-2B,ISS,Space Technology,North America,2013
158,Prometheus 1-7,Los Alamos National Laboratory,Military,US,1.5U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
159,Prometheus 1-8,Los Alamos National Laboratory,Military,US,1.5U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
160,SENSE SV1 (Space Environmental NanoSat Experiment),US Air Force,Military,US,3U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
161,SENSE SV2 (Space Environmental NanoSat Experiment),US Air Force,Military,US,3U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
162,SwampSat,University of Florida,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
163,TJ3sat,Thomas Jefferson High School for Science and Technology,School,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
164,Trailblazer (SPA-1 Trailblazer),University of New Mexico,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
165,Vermont (Lunar) Cubesat,Vermont Technical College/ University of Vermont,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
166,Black Knight 1 (BK 1),West Point Military Academy,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
167,CAPE-2,University of Louisiana at Lafayette,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
168,ChargerSat-1 (ChargerSat 1.2),University of Alabama in Huntsville,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
169,COPPER (Close Orbiting Propellant Plume and Elemental Recognition),Saint Louis University,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
170,DragonSat 1,Drexel University,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
171,Firefly,NASA Goddard Space Flight Center,Agency,US,3U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Science,North America,2013
172,Ho‘oponopono 2 (H2),University of Hawaii at Manoa,University,US,3U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
173,"Horus (STARE B, Space-Based Telescopes for Actionable Refinement of Ephemeris))",Lawrence Livermore National Laboratory,Institute,US,3U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
174,KYSAT II (KySat-2),Kentucky universities,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
175,NPS-SCAT (Naval Postgraduate School Solar Cell Array Tester),Naval Postgraduate School,University,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
176,ORS Tech 1,John Hopkins University,University,US,3U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
177,ORS Tech 2,John Hopkins University,University,US,3U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
178,ORSES (ORS 1),Space & Missile Defense Command,Military,US,3U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
179,PhoneSat 2.4a,NASA Ames Research Center,Agency,US,1U,11-20-13,Minotaur-1,"500 km, 40.5 degree inclination",Space Technology,North America,2013
